,Stored capacity in kWh,Discharge storage,Charge storage
2018-01-01 00:00:00,80.0,0.0,0.0
2018-01-01 01:00:00,80.0,0.0,0.0
2018-01-01 02:00:00,80.0,0.0,0.0
2018-01-01 03:00:00,80.0,0.0,0.0
2018-01-01 04:00:00,80.0,0.0,0.0
2018-01-01 05:00:00,80.0,0.0,0.0
2018-01-01 06:00:00,80.0,0.0,0.0
2018-01-01 07:00:00,80.0,0.0,0.0
2018-01-01 08:00:00,85.40482,0.0,6.0053556
2018-01-01 09:00:00,147.91936,0.0,69.4606
2018-01-01 10:00:00,213.2905,0.0,72.6346
2018-01-01 11:00:00,279.79204,0.0,73.8906
2018-01-01 12:00:00,332.30488,0.0,58.3476
2018-01-01 13:00:00,372.77392,0.0,44.9656
2018-01-01 14:00:00,396.42016,0.0,26.2736
2018-01-01 15:00:00,400.0,0.0,3.9776
2018-01-01 16:00:00,385.70889,12.862,0.0
2018-01-01 17:00:00,348.24556,33.717,0.0
2018-01-01 18:00:00,289.49722,52.8735,0.0
2018-01-01 19:00:00,223.82056,59.109,0.0
2018-01-01 20:00:00,177.68213,41.52458,0.0
2018-01-01 21:00:00,151.24547,23.793,0.0
2018-01-01 22:00:00,136.61913,13.1637,0.0
2018-01-01 23:00:00,129.84907,6.09306,0.0
2018-01-02 00:00:00,123.83709,5.41078,0.0
2018-01-02 01:00:00,117.82511,5.41078,0.0
2018-01-02 02:00:00,111.81313,5.41078,0.0
2018-01-02 03:00:00,105.80116,5.41078,0.0
2018-01-02 04:00:00,94.286378,10.3633,0.0
2018-01-02 05:00:00,80.0816,12.7843,0.0
2018-01-02 06:00:00,80.0,0.07344,0.0
2018-01-02 07:00:00,80.0,0.0,0.0
2018-01-02 08:00:00,91.19812,0.0,12.442356
2018-01-02 09:00:00,134.49586,0.0,48.1086
2018-01-02 10:00:00,183.4762,0.0,54.4226
2018-01-02 11:00:00,238.81504,0.0,61.4876
2018-01-02 12:00:00,295.42558,0.0,62.9006
2018-01-02 13:00:00,348.61162,0.0,59.0956
2018-01-02 14:00:00,383.42056,0.0,38.6766
2018-01-02 15:00:00,400.0,0.0,18.4216
2018-01-02 16:00:00,397.22222,2.5,0.0
2018-01-02 17:00:00,362.72444,31.048,0.0
2018-01-02 18:00:00,303.97611,52.8735,0.0
2018-01-02 19:00:00,238.29944,59.109,0.0
2018-01-02 20:00:00,192.16102,41.52458,0.0
2018-01-02 21:00:00,165.72436,23.793,0.0
2018-01-02 22:00:00,151.09802,13.1637,0.0
2018-01-02 23:00:00,144.32796,6.09306,0.0
2018-01-03 00:00:00,138.31598,5.41078,0.0
2018-01-03 01:00:00,132.304,5.41078,0.0
2018-01-03 02:00:00,126.29202,5.41078,0.0
2018-01-03 03:00:00,120.28004,5.41078,0.0
2018-01-03 04:00:00,108.76527,10.3633,0.0
2018-01-03 05:00:00,94.560489,12.7843,0.0
2018-01-03 06:00:00,80.0,13.10444,0.0
2018-01-03 07:00:00,80.0,0.0,0.0
2018-01-03 08:00:00,90.904093,0.0,12.115659
2018-01-03 09:00:00,90.904093,0.0,0.0
2018-01-03 10:00:00,144.12343,0.0,59.1326
2018-01-03 11:00:00,202.85347,0.0,65.2556
2018-01-03 12:00:00,264.26821,0.0,68.2386
2018-01-03 13:00:00,323.38885,0.0,65.6896
2018-01-03 14:00:00,370.06699,0.0,51.8646
2018-01-03 15:00:00,395.97223,0.0,28.7836
2018-01-03 16:00:00,397.25473,0.0,1.425
2018-01-03 17:00:00,365.02473,29.007,0.0
2018-01-03 18:00:00,306.62529,52.5595,0.0
2018-01-03 19:00:00,240.94862,59.109,0.0
2018-01-03 20:00:00,194.8102,41.52458,0.0
2018-01-03 21:00:00,168.37353,23.793,0.0
2018-01-03 22:00:00,153.7472,13.1637,0.0
2018-01-03 23:00:00,146.97713,6.09306,0.0
2018-01-04 00:00:00,140.96516,5.41078,0.0
2018-01-04 01:00:00,134.95318,5.41078,0.0
2018-01-04 02:00:00,128.9412,5.41078,0.0
2018-01-04 03:00:00,122.92922,5.41078,0.0
2018-01-04 04:00:00,111.41444,10.3633,0.0
2018-01-04 05:00:00,97.209667,12.7843,0.0
2018-01-04 06:00:00,80.0,15.4887,0.0
2018-01-04 07:00:00,80.0,0.0,0.0
2018-01-04 08:00:00,80.0,0.0,0.0
2018-01-04 09:00:00,94.984349,0.0,16.649277
2018-01-04 10:00:00,142.55169,0.0,52.8526
2018-01-04 11:00:00,197.04273,0.0,60.5456
2018-01-04 12:00:00,257.18577,0.0,66.8256
2018-01-04 13:00:00,317.71941,0.0,67.2596
2018-01-04 14:00:00,370.04955,0.0,58.1446
2018-01-04 15:00:00,397.93299,0.0,30.9816
2018-01-04 16:00:00,398.65029,0.0,0.797
2018-01-04 17:00:00,364.15251,31.048,0.0
2018-01-04 18:00:00,305.57862,52.7165,0.0
2018-01-04 19:00:00,239.90196,59.109,0.0
2018-01-04 20:00:00,193.76353,41.52458,0.0
