,Stored capacity in kWh,Discharge storage,Charge storage
2018-01-01 00:00:00,80.0,2.70539,0.0
2018-01-01 01:00:00,80.0,0.0,0.0
2018-01-01 02:00:00,80.0,0.0,0.0
2018-01-01 03:00:00,80.0,0.0,0.0
2018-01-01 04:00:00,80.0,0.0,0.0
2018-01-01 05:00:00,80.0,0.0,0.0
2018-01-01 06:00:00,80.0,0.0,0.0
2018-01-01 07:00:00,80.0,0.0,0.0
2018-01-01 08:00:00,123.67754,0.0,48.5306
2018-01-01 09:00:00,145.55776,0.0,24.311356
2018-01-01 10:00:00,211.4698,0.0,73.2356
2018-01-01 11:00:00,278.51944,0.0,74.4996
2018-01-01 12:00:00,331.49128,0.0,58.8576
2018-01-01 13:00:00,372.33832,0.0,45.3856
2018-01-01 14:00:00,396.26086,0.0,26.5806
2018-01-01 15:00:00,400.0,0.0,4.1546
2018-01-01 16:00:00,385.81556,12.766,0.0
2018-01-01 17:00:00,348.39111,33.682,0.0
2018-01-01 18:00:00,289.64278,52.8735,0.0
2018-01-01 19:00:00,223.96611,59.109,0.0
2018-01-01 20:00:00,177.82769,41.52458,0.0
2018-01-01 21:00:00,151.39102,23.793,0.0
2018-01-01 22:00:00,136.76469,13.1637,0.0
2018-01-01 23:00:00,129.99462,6.09306,0.0
2018-01-02 00:00:00,123.98264,5.41078,0.0
2018-01-02 01:00:00,117.97067,5.41078,0.0
2018-01-02 02:00:00,111.95869,5.41078,0.0
2018-01-02 03:00:00,105.94671,5.41078,0.0
2018-01-02 04:00:00,94.431933,10.3633,0.0
2018-01-02 05:00:00,84.457611,8.97689,0.0
2018-01-02 06:00:00,80.0,4.01185,0.0
2018-01-02 07:00:00,88.37122,0.0,9.3013556
2018-01-02 08:00:00,88.37122,0.0,0.0
2018-01-02 09:00:00,132.04876,0.0,48.5306
2018-01-02 10:00:00,181.4656,0.0,54.9076
2018-01-02 11:00:00,237.28144,0.0,62.0176
2018-01-02 12:00:00,294.37708,0.0,63.4396
2018-01-02 13:00:00,348.02212,0.0,59.6056
2018-01-02 14:00:00,383.17846,0.0,39.0626
2018-01-02 15:00:00,400.0,0.0,18.6906
2018-01-02 16:00:00,397.40222,2.338,0.0
2018-01-02 17:00:00,362.96222,30.996,0.0
2018-01-02 18:00:00,304.21389,52.8735,0.0
2018-01-02 19:00:00,238.53722,59.109,0.0
2018-01-02 20:00:00,192.3988,41.52458,0.0
2018-01-02 21:00:00,165.96213,23.793,0.0
2018-01-02 22:00:00,151.3358,13.1637,0.0
2018-01-02 23:00:00,144.56573,6.09306,0.0
2018-01-03 00:00:00,138.55376,5.41078,0.0
2018-01-03 01:00:00,132.54178,5.41078,0.0
2018-01-03 02:00:00,126.5298,5.41078,0.0
2018-01-03 03:00:00,120.51782,5.41078,0.0
2018-01-03 04:00:00,109.00304,10.3633,0.0
2018-01-03 05:00:00,94.798267,12.7843,0.0
2018-01-03 06:00:00,80.0,13.31844,0.0
2018-01-03 07:00:00,80.0,0.0,0.0
2018-01-03 08:00:00,87.918916,0.0,8.7987951
2018-01-03 09:00:00,87.918916,0.0,0.0
2018-01-03 10:00:00,141.60176,0.0,59.6476
2018-01-03 11:00:00,200.8304,0.0,65.8096
2018-01-03 12:00:00,262.76084,0.0,68.8116
2018-01-03 13:00:00,322.37828,0.0,66.2416
2018-01-03 14:00:00,369.47942,0.0,52.3346
2018-01-03 15:00:00,395.68616,0.0,29.1186
2018-01-03 16:00:00,397.13696,0.0,1.612
2018-01-03 17:00:00,364.97918,28.942,0.0
2018-01-03 18:00:00,306.58196,52.5575,0.0
2018-01-03 19:00:00,240.90529,59.109,0.0
2018-01-03 20:00:00,194.76687,41.52458,0.0
2018-01-03 21:00:00,168.3302,23.793,0.0
2018-01-03 22:00:00,153.70387,13.1637,0.0
2018-01-03 23:00:00,146.9338,6.09306,0.0
2018-01-04 00:00:00,140.92182,5.41078,0.0
2018-01-04 01:00:00,134.90984,5.41078,0.0
2018-01-04 02:00:00,128.89787,5.41078,0.0
2018-01-04 03:00:00,122.88589,5.41078,0.0
2018-01-04 04:00:00,111.37111,10.3633,0.0
2018-01-04 05:00:00,97.166333,12.7843,0.0
2018-01-04 06:00:00,80.0,15.4497,0.0
2018-01-04 07:00:00,80.0,0.0,0.0
2018-01-04 08:00:00,80.0,0.0,0.0
2018-01-04 09:00:00,92.02516,0.0,13.361289
2018-01-04 10:00:00,140.02,0.0,53.3276
2018-01-04 11:00:00,194.98264,0.0,61.0696
2018-01-04 12:00:00,255.63328,0.0,67.3896
2018-01-04 13:00:00,316.67272,0.0,67.8216
2018-01-04 14:00:00,369.46186,0.0,58.6546
2018-01-04 15:00:00,397.6594,0.0,31.3306
2018-01-04 16:00:00,398.5414,0.0,0.98
2018-01-04 17:00:00,364.1014,30.996,0.0
2018-01-04 18:00:00,305.52862,52.7155,0.0
2018-01-04 19:00:00,239.85196,59.109,0.0
2018-01-04 20:00:00,193.71353,41.52458,0.0
2018-01-04 21:00:00,167.27687,23.793,0.0
2018-01-04 22:00:00,152.65053,13.1637,0.0
2018-01-04 23:00:00,145.88047,6.09306,0.0
2018-01-05 00:00:00,139.86849,5.41078,0.0
2018-01-05 01:00:00,133.85651,5.41078,0.0
2018-01-05 02:00:00,127.84453,5.41078,0.0
2018-01-05 03:00:00,121.83256,5.41078,0.0
2018-01-05 04:00:00,110.31778,10.3633,0.0
2018-01-05 05:00:00,96.113,12.7843,0.0
2018-01-05 06:00:00,80.0,14.5017,0.0
2018-01-05 07:00:00,80.0,0.0,0.0
2018-01-05 08:00:00,80.0,0.0,0.0
2018-01-05 09:00:00,104.66736,0.0,27.408183
2018-01-05 10:00:00,126.42468,0.0,24.1748
2018-01-05 11:00:00,188.92392,0.0,69.4436
2018-01-05 12:00:00,249.14796,0.0,66.9156
2018-01-05 13:00:00,303.6462,0.0,60.5536
2018-01-05 14:00:00,347.90334,0.0,49.1746
2018-01-05 15:00:00,380.08248,0.0,35.7546
2018-01-05 16:00:00,392.48268,0.0,13.778
2018-01-05 17:00:00,366.99602,22.938,0.0
2018-01-05 18:00:00,308.77435,52.3995,0.0
2018-01-05 19:00:00,243.09768,59.109,0.0
2018-01-05 20:00:00,196.95926,41.52458,0.0
2018-01-05 21:00:00,170.5226,23.793,0.0
2018-01-05 22:00:00,155.89626,13.1637,0.0
2018-01-05 23:00:00,149.1262,6.09306,0.0
2018-01-06 00:00:00,143.11422,5.41078,0.0
2018-01-06 01:00:00,137.10224,5.41078,0.0
2018-01-06 02:00:00,131.09026,5.41078,0.0
2018-01-06 03:00:00,125.07828,5.41078,0.0
2018-01-06 04:00:00,113.56351,10.3633,0.0
2018-01-06 05:00:00,99.358729,12.7843,0.0
2018-01-06 06:00:00,82.894618,14.8177,0.0
